,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
615,2023-04-23 04:18:09.023242,41.38038,20.1595,-29.22032,-51.7648789927819,-126.99648644079276,430.9974944491059,Night
616,2023-04-23 04:18:16.597212,41.277,20.20941,-29.31855,-51.779888525727934,-126.24165468700873,431.02802558718025,Night
617,2023-04-23 04:18:24.174452,41.94619,20.46406,-29.093,-51.78964476285795,-125.48608000944971,431.0567404574602,Night
618,2023-04-23 04:18:31.751822,41.76637,20.66151,-29.15542,-51.79413629629862,-124.73026543650792,431.0836230143195,Night
619,2023-04-23 04:18:39.327710,41.51043,20.81073,-29.01344,-51.793361899380415,-123.97450353733353,431.1086675512973,Night
620,2023-04-23 04:18:46.902614,41.28957,20.92862,-28.74574,-51.78732453229344,-123.21899391117785,431.13187265309875,Night
621,2023-04-23 04:18:54.480471,41.12022,21.13861,-28.49391,-51.77602169851615,-122.46349580452829,431.1532494674371,Night
622,2023-04-23 04:19:02.053212,41.0514,21.41298,-28.58497,-51.75946927900462,-121.70886928475673,431.1727783606158,Night
623,2023-04-23 04:19:09.524349,40.86841,21.61854,-28.47412,-51.738003742201315,-120.96523039254424,431.1902405098896,Night
624,2023-04-23 04:19:17.118189,40.76862,21.83222,-28.32762,-51.71096076115983,-120.21014193193695,431.2061600576567,Night
625,2023-04-23 04:19:24.694334,40.66849,21.95606,-27.90044,-51.67874468407194,-119.45783219695011,431.22020344536156,Night
626,2023-04-23 04:19:32.269637,40.50942,22.02065,-27.73244,-51.64131722293033,-118.70681868366444,431.2324094828051,Night
627,2023-04-23 04:19:39.849332,40.35294,22.15773,-27.4934,-51.59866404395743,-117.95675012030223,431.2427871154845,Night
628,2023-04-23 04:19:47.424427,40.39977,22.41217,-27.21535,-51.55085352311197,-117.20868883537024,431.2513262233257,Night
629,2023-04-23 04:19:55.000179,40.29213,22.46405,-27.10695,-51.497874699499484,-116.46226556762109,431.2580369005144,Night
630,2023-04-23 04:20:02.579038,40.16677,22.57205,-27.03768,-51.43973066327829,-115.71744300276019,431.26292269305594,Night
631,2023-04-23 04:20:10.156787,40.08533,22.73943,-26.76959,-51.37647352255682,-114.97477709027133,431.2659838899622,Night
632,2023-04-23 04:20:17.729261,39.93924,22.71298,-26.48551,-51.30817223136445,-114.23486005900162,431.267225058208,Night
633,2023-04-23 04:20:25.306874,39.87693,22.8415,-26.3497,-51.234757466877774,-113.49680078861516,431.26665251098404,Night
634,2023-04-23 04:20:32.884264,39.64445,22.97584,-26.05631,-51.15630870076306,-112.76131077378045,431.2642698974296,Night
635,2023-04-23 04:20:40.459298,39.60803,23.08644,-25.9704,-51.07287832289745,-112.02871571241681,431.26008417713035,Night
636,2023-04-23 04:20:48.036029,39.56141,23.40901,-25.74785,-50.984455185144434,-111.29877346693536,431.2540992044664,Night
637,2023-04-23 04:20:55.634435,39.61016,23.45387,-25.4393,-50.89081956813399,-110.5697319334943,431.2462974223773,Night
638,2023-04-23 04:21:03.212328,39.54288,23.66432,-25.36165,-50.792526181347505,-109.8457764495408,431.23672864938163,Night
639,2023-04-23 04:21:10.792863,39.41941,23.83069,-24.99663,-50.68932782969282,-109.12480490839116,431.22537714421696,Night
640,2023-04-23 04:21:18.368721,39.40298,23.88494,-24.69288,-50.58136582320374,-108.4076470576975,431.2122624500387,Night
641,2023-04-23 04:21:25.944477,39.29206,23.99582,-24.74039,-50.46861665018262,-107.69397106672943,431.1973861426703,Night
642,2023-04-23 04:21:33.519525,39.23476,24.08945,-24.28074,-50.351137720869175,-106.98399078628387,431.18075919886894,Night
643,2023-04-23 04:21:41.096854,39.13658,24.13056,-24.02187,-50.22891770018601,-106.27750294705177,431.1623827795953,Night
644,2023-04-23 04:21:48.672950,38.96639,24.19357,-23.81404,-50.10206187270706,-105.5749775121836,431.1422754861271,Night
645,2023-04-23 04:21:56.249557,38.9538,24.40829,-23.72816,-49.970582680163766,-104.87633292723808,431.1204423537328,Night
646,2023-04-23 04:22:03.827021,38.85225,24.59811,-23.46697,-49.83451723712358,-104.18162923850541,431.09689207494625,Night
647,2023-04-23 04:22:11.404718,38.72707,24.60411,-23.22599,-49.693927412448765,-103.49104186038436,431.0716379306046,Night
648,2023-04-23 04:22:19.110489,38.62129,24.79683,-22.72626,-49.54637520265627,-102.79311517607071,431.0442220905931,Night
649,2023-04-23 04:22:26.675259,38.48832,24.96229,-22.37486,-49.39706631788098,-102.1122589992069,431.0156167411579,Night
650,2023-04-23 04:22:34.256872,38.39156,24.94911,-22.21859,-49.24305522467197,-101.43428841451973,430.9852808720444,Night
651,2023-04-23 04:22:41.827402,38.39137,25.03678,-22.01039,-49.084946634011274,-100.76174392743411,430.95333544820545,Night
652,2023-04-23 04:22:49.404958,37.63429,25.06481,-22.03064,-48.92242008225905,-100.0930961977748,430.9197191290212,Night
